concept_name,concept_oid,measure_id,measure_name,last_updated
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,NQF2372,Breast Cancer Screening,2023-06-29
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,NQF2372,Breast Cancer Screening,2023-06-29
Annual Wellness Visit,2.16.840.1.113883.3.526.3.1240,NQF2372,Breast Cancer Screening,2023-06-29
Bilateral Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1005,NQF2372,Breast Cancer Screening,2023-06-29
Dementia Medications,2.16.840.1.113883.3.464.1003.196.12.1510,NQF2372,Breast Cancer Screening,2023-06-29
Emergency Department Visit,2.16.840.1.113883.3.464.1003.101.12.1010,NQF2372,Breast Cancer Screening,2023-06-29
Encounter Inpatient,2.16.840.1.113883.3.666.5.307,NQF2372,Breast Cancer Screening,2023-06-29
Ethnicity,2.16.840.1.114222.4.11.837,NQF2372,Breast Cancer Screening,2023-06-29
Frailty Device,2.16.840.1.113883.3.464.1003.118.12.1300,NQF2372,Breast Cancer Screening,2023-06-29
Frailty Diagnosis,2.16.840.1.113883.3.464.1003.113.12.1074,NQF2372,Breast Cancer Screening,2023-06-29
Frailty Encounter,2.16.840.1.113883.3.464.1003.101.12.1088,NQF2372,Breast Cancer Screening,2023-06-29
Frailty Symptom,2.16.840.1.113883.3.464.1003.113.12.1075,NQF2372,Breast Cancer Screening,2023-06-29
History of bilateral mastectomy,2.16.840.1.113883.3.464.1003.198.12.1068,NQF2372,Breast Cancer Screening,2023-06-29
Home Healthcare Services,2.16.840.1.113883.3.464.1003.101.12.1016,NQF2372,Breast Cancer Screening,2023-06-29
Hospice Care Ambulatory,2.16.840.1.113883.3.526.3.1584,NQF2372,Breast Cancer Screening,2023-06-29
Hospice Encounter,2.16.840.1.113883.3.464.1003.1003,NQF2372,Breast Cancer Screening,2023-06-29
Mammography,2.16.840.1.113762.1.4.1138.730,NQF2372,Breast Cancer Screening,2023-06-29
Nonacute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1084,NQF2372,Breast Cancer Screening,2023-06-29
Observation,2.16.840.1.113883.3.464.1003.101.12.1086,NQF2372,Breast Cancer Screening,2023-06-29
Office Visit,2.16.840.1.113883.3.464.1003.101.12.1001,NQF2372,Breast Cancer Screening,2023-06-29
ONC Administrative Sex,2.16.840.1.113762.1.4.1,NQF2372,Breast Cancer Screening,2023-06-29
Online Assessments,2.16.840.1.113883.3.464.1003.101.12.1089,NQF2372,Breast Cancer Screening,2023-06-29
Outpatient,2.16.840.1.113883.3.464.1003.101.12.1087,NQF2372,Breast Cancer Screening,2023-06-29
Palliative Care Encounter,2.16.840.1.113883.3.464.1003.101.12.1090,NQF2372,Breast Cancer Screening,2023-06-29
Palliative Care Intervention,2.16.840.1.113883.3.464.1003.198.12.1135,NQF2372,Breast Cancer Screening,2023-06-29
Payer,2.16.840.1.114222.4.11.3591,NQF2372,Breast Cancer Screening,2023-06-29
"Preventive Care Services Established Office Visit, 18 and Up",2.16.840.1.113883.3.464.1003.101.12.1025,NQF2372,Breast Cancer Screening,2023-06-29
"Preventive Care Services Initial Office Visit, 18 and Up",2.16.840.1.113883.3.464.1003.101.12.1023,NQF2372,Breast Cancer Screening,2023-06-29
Race,2.16.840.1.114222.4.11.836,NQF2372,Breast Cancer Screening,2023-06-29
Status Post Left Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1069,NQF2372,Breast Cancer Screening,2023-06-29
Status Post Right Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1070,NQF2372,Breast Cancer Screening,2023-06-29
Telephone Visits,2.16.840.1.113883.3.464.1003.101.12.1080,NQF2372,Breast Cancer Screening,2023-06-29
Unilateral Mastectomy Left,2.16.840.1.113883.3.464.1003.198.12.1133,NQF2372,Breast Cancer Screening,2023-06-29
Unilateral Mastectomy Right,2.16.840.1.113883.3.464.1003.198.12.1134,NQF2372,Breast Cancer Screening,2023-06-29
"Unilateral Mastectomy, Unspecified Laterality",2.16.840.1.113883.3.464.1003.198.12.1071,NQF2372,Breast Cancer Screening,2023-06-29
