concept_name,concept_oid,code,code_system
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,10378005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,112689000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,1505002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,15584006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,18083007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183450002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183452005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183481006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183487005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183488000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183489008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183491000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183492007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183493002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183494008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183495009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183496005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183497001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183498006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183499003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183500007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183501006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183502004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183503009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183504003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183505002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183506001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183507005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183508000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183509008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183510003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183511004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183512006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,19951005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,2252009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,235313004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,25986004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,287927002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,304566005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305337004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305338009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305339001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305341000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305342007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305350003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305354007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305355008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305356009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305357000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305360007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305361006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305362004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305363009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305364003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305365002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305366001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305367005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305368000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305369008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305370009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305371008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305372001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305374000,SNOMEDCT
